"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V750","2020-04-10 00:00:00","50.000","47.000","1.000","21.400","0.880","1013.200","","0.000","-99.000","-99.000","-99.000","28.500","","19.400",""
"C0K530","2020-04-10 00:00:00","12.000","73.000","0.700","19.400","0.800","1016.200","","0.000","-99.000","-99.000","-99.000","24.100","","18.800",""
"C0M780","2020-04-10 00:00:00","30.000","0.000","0.000","19.300","0.860","1014.600","","0.000","-99.000","-99.000","-99.000","27.200","","18.000",""
"C0V360","2020-04-10 00:00:00","94.000","0.000","0.000","17.600","0.950","1006.900","","0.000","-99.000","-99.000","-99.000","30.500","","17.500",""
"C0K510","2020-04-10 00:00:00","10.000","7.000","0.900","18.900","0.830","1015.700","","0.000","-99.000","-99.000","-99.000","25.000","","17.700",""
"C0D650","2020-04-10 00:00:00","97.000","71.000","2.300","19.100","0.660","1007.100","","0.000","-99.000","-99.000","-99.000","23.300","","17.800",""
"C0U910","2020-04-10 00:00:00","17.000","294.000","1.000","18.900","0.780","1018.800","","0.000","-99.000","-99.000","-99.000","22.300","","18.500",""
"C0U600","2020-04-10 00:00:00","10.000","280.000","0.900","17.400","0.910","1019.200","","0.000","-99.000","-99.000","-99.000","22.800","","17.400",""
"C0G820","2020-04-10 00:00:00","29.000","0.000","0.000","18.500","0.890","1013.500","","0.000","-99.000","-99.000","-99.000","27.700","","18.200",""
"C0R590","2020-04-10 00:00:00","72.000","10.000","1.100","21.700","0.900","1009.300","","0.000","-99.000","-99.000","-99.000","29.000","","19.500",""
"C0A9E0","2020-04-10 00:00:00","26.000","136.000","0.600","19.400","0.680","1017.600","","1.000","-99.000","-99.000","-99.000","23.700","","17.500",""
"C0R480","2020-04-10 00:00:00","57.000","34.000","0.500","21.800","0.870","1010.500","","0.000","-99.000","-99.000","-99.000","29.400","","19.900",""
"C0X300","2020-04-10 00:00:00","70.000","62.000","0.300","18.000","0.970","1009.500","","0.000","-99.000","-99.000","-99.000","28.000","","17.400",""
"C0U970","2020-04-10 00:00:00","7.000","229.000","0.400","17.400","0.870","1021.100","","0.000","-99.000","-99.000","-99.000","22.700","","17.200",""
